user_id,product_id,action,timestamp,category,price,rating,session_duration
U264,P095,view,2026-01-01 09:45:38,stomach_nutrition,290221,,56
U264,P095,click,2026-01-01 10:01:38,stomach_nutrition,298431,,1068
U409,P095,view,2026-01-01 10:50:13,stomach_nutrition,328994,,1439
U409,P095,wishlist,2026-01-01 11:08:13,stomach_nutrition,288616,,196
U264,P075,add_to_cart,2026-01-01 11:14:38,stomach_nutrition,315030,,880
U409,P095,view,2026-01-01 12:22:13,stomach_nutrition,305694,,711
U264,P075,purchase,2026-01-01 12:28:38,stomach_nutrition,380401,5.0,1240
U264,P075,review,2026-01-01 12:48:38,stomach_nutrition,312654,3.0,1142
U264,P075,view,2026-01-01 12:55:38,stomach_nutrition,343475,,167
U370,P004,view,2026-01-01 13:34:37,herbal_extract,218031,,1349
U409,P095,share,2026-01-01 13:39:13,stomach_nutrition,310628,,666
U370,P084,compare,2026-01-01 14:02:37,herbal_extract,177386,,930
U264,P075,click,2026-01-01 14:15:38,stomach_nutrition,374701,,451
U409,P095,wishlist,2026-01-01 14:19:13,stomach_nutrition,292415,,207
U409,P095,share,2026-01-01 14:27:13,stomach_nutrition,289966,,1459
U370,P084,add_to_cart,2026-01-01 14:57:37,herbal_extract,187084,,1259
U370,P054,purchase,2026-01-01 15:06:37,herbal_extract,364865,,798
U264,P075,compare,2026-01-01 15:22:38,stomach_nutrition,379623,,1126
U409,P095,wishlist,2026-01-01 15:26:13,stomach_nutrition,327937,,1059
U370,P054,purchase,2026-01-01 15:29:37,herbal_extract,310369,3.0,542
U370,P044,review,2026-01-01 15:44:37,herbal_extract,124695,3.0,236
U370,P074,wishlist,2026-01-01 16:05:37,herbal_extract,385191,,995
U409,P095,share,2026-01-01 16:32:13,stomach_nutrition,294800,,1035
U409,P095,add_to_cart,2026-01-01 17:39:13,stomach_nutrition,330810,,664
U299,P064,view,2026-01-01 21:19:04,herbal_extract,201990,,306
U299,P064,compare,2026-01-01 22:13:04,herbal_extract,193422,,1314
U299,P064,click,2026-01-01 22:20:04,herbal_extract,209545,,1093
U299,P084,add_to_cart,2026-01-01 22:55:04,herbal_extract,162911,,1394
U299,P084,purchase,2026-01-02 00:19:04,herbal_extract,186399,5.0,724
U251,P073,view,2026-01-02 00:38:39,probiotic_digestion,152614,,805
U251,P073,click,2026-01-02 00:53:39,probiotic_digestion,143366,,360
U299,P084,review,2026-01-02 01:20:04,herbal_extract,185823,3.0,1279
U251,P073,wishlist,2026-01-02 01:43:39,probiotic_digestion,147598,,1012
U251,P093,share,2026-01-02 02:14:39,probiotic_digestion,47225,,800
U299,P084,compare,2026-01-02 02:17:04,herbal_extract,185610,,201
U251,P093,wishlist,2026-01-02 03:19:39,probiotic_digestion,40350,,1222
U251,P063,view,2026-01-02 04:30:39,probiotic_digestion,413558,,1257
U251,P063,share,2026-01-02 05:27:39,probiotic_digestion,421291,,1010
U251,P063,add_to_cart,2026-01-02 06:07:39,probiotic_digestion,353713,,1404
U291,P080,view,2026-01-02 10:18:22,vitamin_mineral,158030,,131
U479,P026,view,2026-01-02 10:34:33,equipment_device,134044,,862
U479,P026,add_to_cart,2026-01-02 10:42:33,equipment_device,132341,,106
U291,P080,click,2026-01-02 10:43:22,vitamin_mineral,175336,,1189
U291,P060,add_to_cart,2026-01-02 11:00:22,vitamin_mineral,64827,,1475
U479,P026,purchase,2026-01-02 11:29:33,equipment_device,144995,,372
U479,P026,review,2026-01-02 11:39:33,equipment_device,141926,5.0,836
U291,P060,purchase,2026-01-02 12:05:22,vitamin_mineral,65918,,933
U479,P026,share,2026-01-02 12:44:33,equipment_device,125625,,556
U291,P060,review,2026-01-02 13:01:22,vitamin_mineral,59812,5.0,842
U291,P060,share,2026-01-02 13:35:22,vitamin_mineral,57358,,1127
U479,P046,click,2026-01-02 14:01:33,equipment_device,336749,,936
U291,P060,add_to_cart,2026-01-02 15:00:22,vitamin_mineral,58255,,372
U479,P046,wishlist,2026-01-02 15:15:33,equipment_device,359288,,439
U479,P056,view,2026-01-02 16:19:33,equipment_device,500000,,865
U291,P060,compare,2026-01-02 16:22:22,vitamin_mineral,67520,,1453
U479,P056,compare,2026-01-02 16:52:33,equipment_device,500000,,1332
U291,P070,add_to_cart,2026-01-02 16:58:22,vitamin_mineral,22543,,1289
U180,P072,view,2026-01-02 17:33:53,reflux_heartburn,119834,,1286
U180,P062,click,2026-01-02 18:05:53,reflux_heartburn,195649,,80
U180,P062,add_to_cart,2026-01-02 19:24:53,reflux_heartburn,193944,,683
U180,P062,purchase,2026-01-02 20:24:53,reflux_heartburn,216735,,1405
U031,P056,view,2026-01-02 20:35:11,equipment_device,458352,,509
U180,P042,review,2026-01-02 20:36:53,reflux_heartburn,394760,4.0,343
U180,P042,share,2026-01-02 20:50:53,reflux_heartburn,382874,,1411
U031,P056,click,2026-01-02 21:22:11,equipment_device,498194,,1400
U180,P042,wishlist,2026-01-02 21:39:53,reflux_heartburn,449810,,299
U180,P042,click,2026-01-02 21:58:53,reflux_heartburn,374587,,714
U031,P036,view,2026-01-02 22:25:11,equipment_device,233562,,1274
U031,P076,wishlist,2026-01-02 22:55:11,equipment_device,352530,,1229
U291,P056,view,2026-01-02 23:14:22,equipment_device,500000,,352
